entry_id,beacon_id,in_time,out_time,rpi_id
33370,90,2016-09-22 04:33:04,2016-09-22 04:44:36,rpi-16
33371,62,2016-09-22 04:44:58,2016-09-22 04:44:58,rpi-12
33372,90,2016-09-22 04:45:08,2016-09-22 04:45:08,rpi-17
33373,73,2016-09-22 04:45:45,2016-09-22 04:45:57,rpi-17
33374,73,2016-09-22 04:46:12,2016-09-22 04:46:12,rpi-12
33375,73,2016-09-22 04:45:17,2016-09-22 04:46:04,rpi-18
33376,56,2016-09-22 04:46:12,2016-09-22 04:46:12,rpi-25
33377,90,2016-09-22 04:46:09,2016-09-22 04:46:22,rpi-16
33378,90,2016-09-22 03:56:03,2016-09-22 04:46:29,rpi-15
33379,73,2016-09-22 04:46:04,2016-09-22 04:46:31,rpi-16
33380,62,2016-09-22 04:46:06,2016-09-22 04:46:27,rpi-16
33381,90,2016-09-22 01:32:20,2016-09-22 04:46:41,rpi-14
33382,90,2016-09-22 04:46:54,2016-09-22 04:46:54,rpi-26
33383,61,2016-09-22 04:46:51,2016-09-22 04:46:58,rpi-27
33384,61,2016-09-22 04:46:49,2016-09-22 04:46:56,rpi-24
33385,61,2016-09-22 04:46:40,2016-09-22 04:46:58,rpi-23
33386,73,2016-09-22 04:46:50,2016-09-22 04:46:57,rpi-23
33387,90,2016-09-22 04:46:31,2016-09-22 04:47:03,rpi-22
33388,61,2016-09-22 04:46:43,2016-09-22 04:47:05,rpi-22
33389,56,2016-09-22 04:46:55,2016-09-22 04:47:29,rpi-25
33390,73,2016-09-22 04:48:19,2016-09-22 04:48:30,rpi-22
33391,56,2016-09-22 04:49:21,2016-09-22 04:49:21,rpi-25
33392,56,2016-09-22 04:51:14,2016-09-22 04:51:34,rpi-25
33393,56,2016-09-22 04:58:14,2016-09-22 04:58:30,rpi-29
33394,56,2016-09-22 04:59:43,2016-09-22 04:59:43,rpi-29
33395,56,2016-09-22 04:41:28,2016-09-22 05:00:32,rpi-02
33396,56,2016-09-22 05:01:53,2016-09-22 05:02:04,rpi-29
33397,56,2016-09-22 04:58:07,2016-09-22 05:02:33,rpi-25
33398,56,2016-09-22 05:04:32,2016-09-22 05:04:41,rpi-29
33399,56,2016-09-22 05:04:37,2016-09-22 05:04:45,rpi-25
33400,56,2016-09-22 05:06:30,2016-09-22 05:06:30,rpi-29
33401,56,2016-09-22 05:07:54,2016-09-22 05:07:54,rpi-25
33402,56,2016-09-22 05:08:57,2016-09-22 05:08:57,rpi-25
33403,56,2016-09-22 05:09:36,2016-09-22 05:09:36,rpi-29
33404,56,2016-09-22 05:11:33,2016-09-22 05:12:06,rpi-25
33405,56,2016-09-22 05:12:50,2016-09-22 05:13:16,rpi-25
33406,56,2016-09-22 05:11:09,2016-09-22 05:14:27,rpi-29
33407,56,2016-09-22 05:14:35,2016-09-22 05:14:37,rpi-25
33408,56,2016-09-22 05:17:49,2016-09-22 05:17:49,rpi-24
33409,56,2016-09-22 05:18:07,2016-09-22 05:19:30,rpi-29
33410,56,2016-09-22 05:19:53,2016-09-22 05:19:53,rpi-29
33411,56,2016-09-22 05:20:33,2016-09-22 05:20:33,rpi-24
33412,56,2016-09-22 05:24:39,2016-09-22 05:24:50,rpi-29
33413,56,2016-09-22 05:24:39,2016-09-22 05:25:30,rpi-25
33414,56,2016-09-22 05:26:15,2016-09-22 05:26:18,rpi-29
33415,56,2016-09-22 05:26:15,2016-09-22 05:26:33,rpi-25
33416,56,2016-09-22 05:26:54,2016-09-22 05:26:54,rpi-29
33417,56,2016-09-22 05:26:58,2016-09-22 05:27:25,rpi-25
33418,56,2016-09-22 05:27:55,2016-09-22 05:29:04,rpi-29
33419,56,2016-09-22 05:29:04,2016-09-22 05:29:10,rpi-25
33420,56,2016-09-22 05:31:28,2016-09-22 05:31:31,rpi-25
33421,56,2016-09-22 05:30:59,2016-09-22 05:32:02,rpi-29
33422,56,2016-09-21 23:49:13,2016-09-22 05:32:06,rpi-01
33423,56,2016-09-22 04:40:55,2016-09-22 05:32:10,rpi-00
33424,56,2016-09-22 05:32:07,2016-09-22 05:32:07,rpi-24
33425,56,2016-09-22 05:32:04,2016-09-22 05:32:04,rpi-25
33426,56,2016-09-22 05:32:17,2016-09-22 05:32:17,rpi-04
33427,56,2016-09-22 05:01:01,2016-09-22 05:32:17,rpi-02
33428,56,2016-09-22 05:32:11,2016-09-22 05:32:15,rpi-03
33429,56,2016-09-22 05:32:09,2016-09-22 05:32:17,rpi-21
33430,93,2016-09-22 12:05:54,2016-09-22 12:06:14,rpi-01
